file_name,First_author,Publication_year,Delay_Length_Min_human,Delay_Length_Min_GPT4o,Delay_Length_Min_GPT4_Jansen,evaluate_RAG,evaluate_Jansen,Notes
"Li et al_2013_Complementary cognitive capabilities, economic decision making, and aging",Li et al.,2013,120,90,90,0,0,
Lindbergh et al_2014_Discounting preferences and response consistency as markers of functional,Lindbergh et al.,2014,1,1,1,1,1,
Liu et al_2016_Age differences in delay discounting in Chinese adults,"Liu et al., a1",2016,7,7,7,1,1,
Lu et al. - 2022 - Differential Effects of Fundamental and Longitudin,Lu et al. a1,2022,4,,4,0,1,
Löckenhoff 等。 - 2011 - Age differences in temporal discounting The role , Löckenhoff et al.,2011,7,1,7,0,1,
Löckenhoff_Samanez-Larkin_2020_Age differences in intertemporal choice,Löckenhoff et al.,2020,,300,30,0,0,
Mahalingam et al. - 2018 - A Computer Adaptive Measure of Delay Discounting,,,30,7,7,0,0,
Martinez-Loredo et al_2018_Trajectories of impulsivity by sex predict substance use and heavy drinking,"Martinez-Loredo et al., a1",2018,1,1,1,1,1,
Martínez-Loredo et al_2017_Long-term reliability and stability of behavioral measures among adolescents,Martínez-Loredo et al.,2017,1,1,1,1,1,
Mok et al_2020_Is it time,"Mok et al., a1",2020,7,,7,0,1,
Murphy_Garavan_2011_Cognitive predictors of problem drinking and AUDIT scores among college students,Murphy et al.,2011,7,7,7,1,1,
Nigro et al. 2017,Nigro et al.,2017,7,7,7,1,1,
Olson et al_2007_Adolescents_ performance on delay and probability discounting tasks,Olson et al.,2007,1,1,1,1,1,
Olson 等。 - 2009 - White Matter Integrity Predicts Delay Discounting ,Olson et al.,2009,1,5,1,0,1,
O’Hora et al. - 2016 - Decisions in Motion Decision Dynamics during Inte,O’Hora et al.,2016,7,7,7,1,1,
Peviani et al_2019_Intergenerational transmission of delay discounting,Peviani et al.,2019,1,1,1,1,1,
Prencipe et al_2011_Development of hot and cool executive function during the transition to,Prencipe et al.,2011,1,1,1,1,1,
Read 和 Read - 2004 - Time discounting over the lifespan,"Read et al., a1",2004,365,,365,0,1,
Redner_Hirst_2020_Preliminary evaluation of delay discounting and cell phone use in the college,Redner et al.,2020,7,,7,1,0,"the information is not provided in the original paper, external data is used in our original coding, so the correct LLM coding should be NA"
"Reimers et al_2009_Associations between a one-shot delay discounting measure and age, income,",Reimers et al.,2009,90,90,45,1,0,
Richter_Mata_2018_Age differences in intertemporal choice,"Richter et al., a1",2018,360,30,30,1,1,
Rieger_Mata_2015_On the generality of age differences in social and nonsocial decision making,,2015,7,7,7,1,1,
Ripke et al_2012_Reward processing and intertemporal decision making in adults and adolescents,Ripke et al.,2012,10,10,10,1,1,
"Roalf et al_2012_Risk, reward, and economic decision making in aging",Roalf et al.,2012,1,1,1,1,1,
Rozek et al_1977_Temporal span and delay of gratification as a function of age and cognitive,Rozek et al.,1977,1,,,0,0,
Samanez-Larkin et al_2011_Age differences in striatal delay sensitivity during intertemporal choice in,Samanez-Larkin et al.,2011,14,14,14,1,1,
Sanchez-Roige et al. - 2018 - Genome-wide association study of delay discounting,Sanchez-Roige et al.,2018,7,,7,1,0,"the information is not provided in the original paper, external data is used in our original coding, so the correct LLM coding should be NA"
"Scheres et al_2014_Temporal reward discounting in children, adolescents, and emerging adults","Scheres et al., a1",2014,5.79E-05,1,1,0,0,
Seaman et al. - 2021 - Decision Making across Adulthood during Physical D,Seaman et al. a1,2021,14,14,14,1,1,
"Seaman et al_2018_Subjective value representations during effort, probability and time",Seaman et al.,2018,14,28,4,0,0,
Seaman 等。 - 2016 - Adult age differences in decision making across do,Seaman et al.,2016,14,14,0,1,0,
Smith et al_2015_Intertemporal choice behavior in emerging adults and adults,"Smith et al., a1",2015,7,7,7,1,1,
Smith_Boettiger_2012_Age modulates the effect of COMT genotype on delay discounting behavior,Smith et al.,2012,7,7,7,1,1,
Sparrow 和 Spaniol - 2018 - Aging and altruism in intertemporal choice.,Sparrow et al.,2018,7,7,7,1,1,
Steinberg et al_2009_Age differences in future orientation and delay discounting,Steinberg et al.,2009,1,1,1,1,1,
Steward 等。 - 2017 - Delay discounting and impulsivity traits in young ,"Steward et al., a1",2017,7,5,7,0,1,
Tate et al. 2015,Tate et al.,2015,7,7,7,1,1,
Thamotharan et al_2017_Drug use status in youth,Thamotharan et al.,2017,1,1,1,1,1,
Toplak_Flora_2020_Resistance to cognitive biases,"Toplak et al., a1",2020,2,2,2,1,1,
Tschernegg et al. - 2015 - Impulsivity relates to striatal gray matter volume,Tschernegg et al.,2015,,365,0,0,0,
van den Bos et al_2015_Adolescent impatience decreases with increased frontostriatal connectivity,van den Bos et al.,2015,15,14,14,0,0,
Veillard_Vincent_2020_Temporal discounting does not influence body mass index,Veillard et al. ,2020,7,61,61,0,0,
Vetter et al_2017_Reliability in adolescent fMRI within two years - A comparison of three tasks,Vetter et al.,2017,10,,,0,0,
Wang et al_2016_How time preferences differ,Wang et al.,2016,365,30,30,0,0,
Westwater et al_2019_Combined effects of age and BMI are related to altered cortical thickness in,"Westwater et al., a1",2019,7,,7,1,0,"the information is not provided in the original paper, external data is used in our original coding, so the correct LLM coding should be NA"
Whelan 和 McHugh - 2009 - Temporal Discounting of Hypothetical Monetary Rewa,"Whelan et al., a1",2009,1,1,1,1,1,
Wolfe and Patel - 2017 - Instant gratification temporal discounting and se,Wolfe et al.,2017,365,,365,0,1,"the information is provided in the figure, which is not included in our OCR text file feeding to the model"
Yu et al_2021_The neurodevelopment of delay discounting for monetary rewards in,Yu et al.,2021,2,2,2,1,1,
"Zilker_Pachur_2020_Does option complexity contribute to the framing effect, loss aversion, and",Zilker et al.,2020,14,14,14,1,1,
